2025-08-08 14:43:27,448 INFO    MainThread:84308 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-08-08 14:43:27,449 INFO    MainThread:84308 [wandb_setup.py:_flush():79] Configure stats pid to 84308
2025-08-08 14:43:27,449 INFO    MainThread:84308 [wandb_setup.py:_flush():79] Loading settings from /home/ilyes/.config/wandb/settings
2025-08-08 14:43:27,449 INFO    MainThread:84308 [wandb_setup.py:_flush():79] Loading settings from /scratch/ilyes/kfp-gen/finetuning/wandb/settings
2025-08-08 14:43:27,449 INFO    MainThread:84308 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-08-08 14:43:27,449 INFO    MainThread:84308 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': 'offline', '_disable_service': None}
2025-08-08 14:43:27,449 INFO    MainThread:84308 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'finetuning/unsloth_trainer/train_sft.py', 'program_abspath': '/scratch/ilyes/kfp-gen/finetuning/unsloth_trainer/train_sft.py', 'program': '/scratch/ilyes/kfp-gen/finetuning/unsloth_trainer/train_sft.py'}
2025-08-08 14:43:27,450 INFO    MainThread:84308 [wandb_init.py:_log_setup():533] Logging user logs to run/kfp-Qwen2.5-7B-Instruct/wandb/offline-run-20250808_144327-w9bi4i2z/logs/debug.log
2025-08-08 14:43:27,450 INFO    MainThread:84308 [wandb_init.py:_log_setup():534] Logging internal logs to run/kfp-Qwen2.5-7B-Instruct/wandb/offline-run-20250808_144327-w9bi4i2z/logs/debug-internal.log
2025-08-08 14:43:27,450 INFO    MainThread:84308 [wandb_init.py:init():619] calling init triggers
2025-08-08 14:43:27,450 INFO    MainThread:84308 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2025-08-08 14:43:27,450 INFO    MainThread:84308 [wandb_init.py:init():669] starting backend
2025-08-08 14:43:27,450 INFO    MainThread:84308 [wandb_init.py:init():673] sending inform_init request
2025-08-08 14:43:27,458 INFO    MainThread:84308 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-08-08 14:43:27,458 INFO    MainThread:84308 [wandb_init.py:init():686] backend started and connected
2025-08-08 14:43:27,484 INFO    MainThread:84308 [wandb_init.py:init():781] updated telemetry
2025-08-08 14:43:27,539 INFO    MainThread:84308 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-08-08 14:43:32,196 INFO    MainThread:84308 [wandb_init.py:init():867] starting run threads in backend
2025-08-08 14:43:32,517 INFO    MainThread:84308 [wandb_run.py:_console_start():2456] atexit reg
2025-08-08 14:43:32,517 INFO    MainThread:84308 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-08-08 14:43:32,517 INFO    MainThread:84308 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-08-08 14:43:32,517 INFO    MainThread:84308 [wandb_run.py:_redirect():2395] Redirects installed.
2025-08-08 14:43:32,660 INFO    MainThread:84308 [wandb_init.py:init():911] run started, returning control to user process
2025-08-08 14:48:00,823 WARNING MsgRouterThr:84308 [router.py:message_loop():75] message_loop has been closed
